id,text,Label,Model_classification
10,"in libgotc  there exist nullable versions of most traffic ops structs   there are inconsistencies between these structs that should be addressed   ive written a test that should be run with unit tests to ensure that these are correct    ill create a pr shortly with that test with instructions on how to run it

the following is the output from the test showing these inconsistencies

go test tags nullable
 fail testnullstructs 
     tcasnlastupdated string and tcasnnullablelastupdated tctimenomod have mismatched types
      has  fields but  has 
     field deepcachingtype found on  but not 
     field dnsbypasscname found on  but not 
       and  int have mismatched types
     field trresponseheaders found on  but not 
     field dnsbypasscname found on  but not 
     field geolimitcountries found on  but not 
     field geolimitredirecturl found on  but not 
     field originshield found on  but not 
     field sslkeyversion found on  but not 
     tcprofile has  fields but tcprofilenullable has 
     field parameter found on tcprofile but not tcprofilenullable
     tcsteeringtargetdeliveryserviceid int and tcsteeringtargetnullabledeliveryserviceid  have mismatched types
     tcsteeringtargettargetid int and tcsteeringtargetnullabletargetid  have mismatched types
     tcsteeringtargetvalue int and tcsteeringtargetnullablevalue  have mismatched types
fail
exit status 
fail	githubcomapachetrafficcontrollibgotc	

",TD,TD
11,groverfc is a generically useful library that implements http rfcs it should be moved to lib for use by other apps several of our other go apps already define their own duplicate constants or have additional rfc constants that should be moved to rfc,TD,TD
12,a number of our to api tests have logdebuglntest passed  at the end these serve the same purpose as go test v and should be removed eg ,TD,TD
13,right now the to go packages which are api endpoints are mixed in the root directory with all the other packages tocookie plugin riaksvc etc and its hard to see which are which the api endpoint packages should be moved to api to make the code easier to understand and work with,TD,TD
14,"the to api defines post and put to return the object for most endpoints but the cruder framework doesnt it just returns an empty success response

i dont think itll be that difficult to make the cruder framework do this by adding it to the genericcreate and genericupdate funcs to expect an object to be returned from sql and populate it via the existing sqlx tags and add that to each query via returning

this might ought to be tagged bug its a bug that the api is missing this from  where it existed before",TD,TD
15,"traffic ops uses goose for database migration goose is unmaintained and has been for years we need to move to a maintained db migration tool for security bug fixes ease of use etc

the most difficult part of this will be removing the  go migration we have which wont be supported by a generic sql migration tool it will need to be converted to real sql alternatively if we squash the migrations into the default seeds in a release including that migration that may solve the problem or it may be equally difficult to squash",TD,TD
16,"the traffic ops client package is trafficopsclient this isnt a good package name because it doesnt make sense in general context for example when traffic monitor imports the package clientnewsession doesnt convey any information

i suggest renaming the package toclient thats what most users will alias it to anyway and it follows the go idioms for package names its short and conveys enough information in the context of its usage for most users to immediately know what it is

likewise session newsession and loginwithagent arent idiomatic names 

i suggest renaming session to toclient and loginwithagent to new and removing newsession or making it private",TD,TD
17,"a number of to client funcs have been deprecated since  and should be removed from master 

they can be found by searching for  deprecated eg ",TD,Not_TD
18,"many to client objects are missing nullable objects and missing returning reqinf

we need to go through and add all of these and mark functions missing either as  deprecated

nullable objects are necessary to distinguish missing from empty values and reqinf is necessary for clients to get the ip which is important to users if theres an error or unexpected behavior and to is behind a gslb",TD,TD
19,"the riaksvcwithcluster func was useful for safely cleaning up the cluster but its since been changed to be a global variable so withcluster is now unnecessary further because it requires a lambda and extra indentation its harder to read and understand it should be removed

see ",TD,TD
20,"traffic ops golang riaksvc is currently hardcoded there are a very small number of functions we do on riak 

by moving riak to a plugin tc users will be able to use any secure database making it easy to move away from riak if it doesnt suit their use case 

it will also allow us to provide multiple secure db implementations in tc itself 

it will also allow us to implement a trivial file or memory db so users developing and testing tc could run without the additional work of setting up riak making developing debugging and trying out tc easier

i suggest implementing the plugin hook as a hook which runs on initialization and plugins return a securedb interface which implements the necessary functions to load and store keys",TD,TD
21,"currently the to api tests dont support riak this makes it impossible to write integration tests for riak endpoints 

we need to add riak support so we can test the riak endpoints

this may be as simple as adding a few fixtures and configs or it may be rather difficult to begin with someone needs to investigate or prototype it to find out how much work its going to be",TD,TD
22,the tcapierrortype is a legacy artifact that needs removed to golang has standardized around the usererr syserr errcode idiom which is more powerful and flexible and easier to work with no type casting the few remaining functions in togo using tcapierrortype need changed to use the usererr syserr errcode idiom and the symbol removed,TD,TD
23,"currently the to golang http dispatchrouter uses a regex for routes this has become a legacy artifact regex routing isnt necessary and requires duplicating the same constructs json and is dangerous and easy to get wrong

the to go router should be changed to automatically anchor  and  and automatically allow and strip json and be a constant string only interpolating path parameters

this will make it easier to work with easier to read and much safer and harder for routes to get wrong",TD,TD
24,"the tm api has docs 

but theyre incomplete and not in a very visible place

we should document all the endpoints the endpoints are all linked from the monitors http page they just need added to the docs

we should also probably put the monitor api docs in a more visible place maybe create a unified root apis doc page with links to the apis of every component",TD,TD
25,"the tr api has docs 

but theyre incomplete and not in a very visible place

we should add explanations and examples of what they return

we should also probably put the router api docs in a more visible place maybe create a unified root apis doc page with links to the apis of every component",TD,TD
26,"we should create a native language client for traffic monitor in go to match the canonical to client

shouldnt be too much work as the tm api doesnt have auth",TD,Not_TD
27,"we should create a native language client for traffic router in go to match the canonical to client

shouldnt be too much work as the tr api doesnt have auth",TD,Not_TD
28,"because our server table is overloaded with caches and infrastructure servers tp to tm etc and the cdn attribute is required for all servers the all cdn was introduced to help satisfy this requirement for servers where a cdn doesnt make sense infrastructure servers

imo either the server table should be broken into  tables  caches and servers or maybe its as simple as making cdn nullable for certain server types not sure of the solution",TD,TD
29,a number of our to api tests have logdebuglntest passed  at the end these serve the same purpose as go test v and should be removed eg ,TD,Not_TD
30,"all go components except grove and grovetccfg are currently compiled with go  in the docker build system

later versions have changes that drastically improve performance for  tls requests using rsa certificates  see ",TD,Not_TD
31,"if the cert or key file specified in cdnconf is unreadable  trafficopsgolang exits with a cryptic error message  

info   listening on 
error   stopping server open  no such file or directory
",TD,Not_TD
32,"if the cert or key file specified in cdnconf is unreadable  trafficopsgolang exits with a cryptic error message  

info   listening on 
error   stopping server open  no such file or directory
",TD,TD
33,"so we went through all this debate about adding the massive sqlx library for its one structscan function to avoid things like


	resultrows err  txqueryinsertquery dsactive dsanonymousblockingenabled dscacheurl dsccrdnsttl dscdnid dscheckpath dsconsistenthashregex deepcachingtype dsdisplayname dsdnsbypasscname dsdnsbypassip  dsdnsbypassttl dsdscp dsedgeheaderrewrite dsgeolimitredirecturl dsgeolimit dsgeolimitcountries dsgeoprovider dsglobalmaxmbps dsglobalmaxtps dsfqpacingrate dshttpbypassfqdn dsinfourl dsinitialdispersion  dslogsenabled dslongdesc   dsmaxdnsanswers dsmidheaderrewrite dsmisslat dsmisslong dsmultisiteorigin dsoriginshield dsprofileid dsprotocol dsqstringignore dsrangerequesthandling dsregexremap dsregionalgeoblocking dsremaptext dsroutingname dssigningalgorithm dssslkeyversion dstenantid dstrrequestheaders dstrresponseheaders dstypeid dsxmlid


and were not even avoiding them the worse ones are still using the standard library



because we need fields not in the struct and sqlx isnt capable of that note the deepcachingtype in the above query

but this is possible and not even that difficult all we have to do is create a new struct which anonymously embeds the real struct like so


type createds struct 
  tcdeliveryservicenullable
  deepcachingtype string

createds  createdsdeliveryservicenullable ds deepcachingtype deepcachingtype
resultrows err  txstructscaninsertquery createds
ds  updatedsdeliveryservicenullable


as well as updating insertquery to use sqlx activeactive syntax rather than standard sql 

in this particular case its also possible to solve the problem by making tcdeliveryservicedeepcachingtype implement sqlvaluer and sqlscanner but the above solution works universally

in fact it would probably take less time to do than it took me to make this issue",TD,TD
34,"usetenancy is now on by default   we can simplify quite a bit of code including sql by no longer checking this parameter

note  the perl code should not be touched except where it gets the value of that parameter always assume   only go code should be cleaned up",TD,TD
35,"the traffic ops parentconfig generation has been transliterated from perl to go


its been transliterated as closely as possible for safety its a very complex set of logic and easy to get wrong and getting it wrong can cause critical errors and potentially break traffic or even the entire cdn

the code needs refactored there is much duplication very long functions querying too much data and other issues

but we dont want to completely refactor it at the same time as transliterating it to reduce the risk of introducing errors

so at some point after  has been running without issue we need to go back and improve it

when i transliterated it i added todo comments for all the issues i immediately saw those should be the starting point but there are almost certainly other code sanity improvements that need to be made",TD,TD
36,"
error   checking local user password algorithm defined is not scrypt

this error message is continually spewing in the logs  seems like this should be called when there is a true error",TD,Not_TD
37,"we should deprecate steering delivery services in favor of a singular clientsteering delivery service type for the most part a clientsteering delivery service can provide the same set of functionality as a steering delivery service there are only a few things that apply to steering and not clientsteering
 the xtcsteeringoption header can be used by a client to request a specific steering target in a steering delivery service
 delivery service steeringregexps aka steering filters only apply to steering
 the json response format when using the query string formatjson varies slightly between steering and clientsteering

steering

location 

clientsteering

locations


that said if no clients of a steering delivery service use the above  features they should be able to smoothly transition to an equivalent clientsteering delivery service instead they will still get  by default but with clientsteering they will also receive the full result list of all targets which they could choose to ignore if the steering clients only care about the  ignore the response body and dont use formatjson then their experience shouldnt change between a steering delivery service and an equivalent clientsteering delivery service

however if the steering client depends on the specific json format provided via formatjson then they will need to be fixed to work with the clientsteering json format other than that we could add functionality to clientsteering to satisfy points  and  for steering clients that use those features still

i think a tentative plan would look like this
 add functionality for points  and  to clientsteering possibly if the community still relies on that obscure functionality
 deprecate steering in major release n  no new delivery services of type steering can be created but existing steering delivery services will continue to be supported delivery services of type clientsteering can be created and existing steering delivery services should be updated to use clientsteering instead
 in major release  remove support for steeringtype delivery services this would include removing the steering type from traffic ops removing nonclientsteering support in the crconfig and removing nonclientsteering support in traffic router by this point release  could probably include a db migration that automatically sets any remaining steering delivery services to clientsteering because everyone should have manually transitioned to clientsteering before release  anyways

relevant mailing list thread ",TD,TD
38,"when the to ui was formally decommissioned the bulk of the ui routes were disabled



the following ui routes are still enabled


  gendbdump  get db dump
rgetdbdumpover authenticated   notldap   to gendbdumpdbdump namespace  namespace 

  health  parameters for rascal
rgethealthto healthhealthprofile namespace  namespace 
rgethealthfullto healthhealthfull namespace  namespace 
rgethealthcdnnameto healthrascalconfig namespace  namespace 

  options
roptionsto cdnoptions namespace  namespace 
roptionsto cdnoptions namespace  namespace 

  ort
 authenticated   notldap   to  namespace  namespace 
rrouteorthostnamepackagesviagetover authenticated   notldap   to ortgetpackageversions namespace  namespace 
rrouteorthostnamechkconfigviagetover authenticated   notldap   to ortgetchkconfig namespace  namespace 

 select available profile ds or server
rgetavailableprofileparamidover authenticated   notldap   to profileavailableprofile namespace  namespace 
rrouteprofileidexportviagetover authenticated   notldap   to profileexport namespace  namespace 

 flashandclose is a helper for the trafficopsgolang migration to allow go handlers to intercept gui routes do their work then redirect to this to perform the gui operation
rgettoolsflashandclosemsgover authenticated   notldap   to toolsflashandclose namespace  namespace 

  topology  ccr config rewrote in json
rroutegenfilesmodebycdnnamecdnnamecrconfigviagetover authenticated   notldap   to topologyccrconfig namespace  namespace 
rgetcrconfigsnapshotscdnnamecrconfigjsonover authenticated   notldap   to snapshotgetcdnsnapshot namespace  namespace 

  update bit  process updates  legacy stuff
rgetupdatehostnameover authenticated   notldap   to serverreadupdate namespace  namespace 
rpostupdatehostnameover authenticated   notldap   to serverpostupdate namespace  namespace 
rpostpostupdatequeueidover authenticated   notldap   to serverpostupdatequeue namespace  namespace 
rpostpostupdatequeuecdncachegroupover authenticated   notldap   to serverpostupdatequeue namespace  namespace 

  utils
rgetutilsclosefancyboxover authenticated   notldap   to utilsclosefancybox namespace  namespace 

 deprecated  see apiversionservers and 
 duplicate route
rgethealthdataserverover authenticated   notldap   to serverindexresponse namespace  namespace 

 select  from table where idid
rgetserverbyididover authenticated   notldap   to serverserverbyid namespace  namespace 













",TD,TD
39,at one point i added restangular  to help simplify the tp services trafficportalappsrccommonapi however many of the services use restangular and others do not it might make sense to just remove the dependency on restangular altogether,TD,TD
40,"the cdninabox documentation  is missing some things that were added fairly recently  including but not limited to
 use of dockercomposeexposeportsyml should be mentioned with the first dockercompose  up
 optional containers vnc vpn grafana socksproxy 
",TD,Not_TD
41,on the servers page when you click  more  update status we are presented with a list of server statuses this list of statuses should be sorted alphabetically and exclude the servers current status for example if the server status is currently online that status should not be included in the list,TD,Not_TD
42,"related to    missed the to db test in upgrading go

remove reference to vaultcentosorg and install go   trafficopsdbtestdockerdockerfiledbadmin",TD,Not_TD
43,"some log lines in traffic ops errorlog contain a timestamp and some do not the expected format is as follows

   
ie
error    error getting cookie http named cookie not present

here are some of the log line variants
error  http tls handshake error from  eof
proxy error   http proxy error dial tcp  getsockopt connection refused
error    error getting cookie http named cookie not present",TD,Not_TD
44,"

this section is very incomplete it probably only covers  of all of tps functionality

now that the to ui has been deprecated this section should also be removed    and maybe a lot of the information in there could be reused for tp",TD,TD
45,"the types table currently has types associated with

 cache groups
 delivery services
 federations
 regexes
 servers
 static dns entries
 steering targets
 to extensions

as far as i know only one type of type can be added dynamically  server types the other types are static and would require supporting code changes if new types are introduced

for example you can create an edgefoo or midfoo type and the system will treat those servers as edges and mids respectively  no code changes required

however if you create a dnsfoo delivery service type they system cant handle that without code changed

therefore i think the crud apis for types should only work if useintableserver",TD,TD
46,now when a dss hostname changes on an update via ui or api it changes the hostname field on the record stored in riak but it does not regenerate the certificate or csr so there will be a mismatch between the ssl certificate and the hostname it is being used for we need to decide what the proper way to handle this is we can regenerate the certificate and csr in the manner we currently do from the api or ui but they will still be unsigned without human interaction at this pointauthor dylan volzjira link a href,TD,TD
47," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
cdnshealth is handled by perl

 expected  new behavior
cdnshealth should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else

pr in progress  ",TD,Not_TD
48," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
cdnsnamehealth is handled by perl

 expected  new behavior
cdnsnamehealth should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else

pr in progress  ",TD,Not_TD
49," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
cdnsrouting is handled by perl

 expected  new behavior
cdnsrouting should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else

pr in progress  ",TD,Not_TD
50," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
cdnsnameconfigsrouting is handled by perl

 expected  new behavior
cdnsnameconfigsrouting should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else

pr in progress  ",TD,Not_TD
51," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
serversserverconfigfilesatsconfigfile is handled by perl

 expected  new behavior
serversserverconfigfilesatsconfigfile should be handled by go this includes behavior for when server is an id as well as a hostname and should encompass all possible files  not just the generic case

the files that need special handlers are

  files matching toextconfig
  cacheconfig
  chkconfig
  ipallowconfig
  hostingconfig
  packages
  parentconfig pr 
  remapconfig

 minimal reproduction of the problem with instructions
na",TD,Not_TD
52," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
cdnscdnconfigfilesatsconfigfile is handled by perl

 expected  new behavior
cdnscdnconfigfilesatsconfigfile should be handled by go this should encompass the behavior when cdn is an id as well as a name the values of configfile that need to be implemented are

  bgfetchconfig
  files matching cacheurlconfig
  files matching regexremapconfig
  files matching setdscpconfig
  sslmulticertconfig
  files matching hdrrwconfig pr 
  regexrevalidateconfig pr 

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
53," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
dbdump is handled by perl

 expected  new behavior
dbdump should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
54," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
deliveryservicesidsafe is handled by perl

 expected  new behavior
deliveryservicesidsafe should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
pr in progress ",TD,Not_TD
55," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
deliveryservicesidhealth is handled by perl

 expected  new behavior
deliveryservicesidhealth should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
pr in progress  waiting on ",TD,Not_TD
56," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
deliveryservicesidcapacity is handled by perl

 expected  new behavior
deliveryservicesidcapacity should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
pr in progress  waiting on ",TD,Not_TD
57," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
divisionsnamename is handled by perl

 expected  new behavior
divisionsnamename should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
pr in progress  waiting on ",TD,Not_TD
58," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federations is handled by perl

 expected  new behavior
federations should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
59," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationsidusers is handled by perl

 expected  new behavior
federationsidusers should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
60," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationsidusersuserid is handled by perl

 expected  new behavior
federationsidusersuserid should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
61," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationsiddeliveryservices is handled by perl

 expected  new behavior
federationsiddeliveryservices should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
62," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationsiddeliveryservicesdsid is handled by perl

 expected  new behavior
federationsiddeliveryservicesdsid should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
63," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationsidfederationresolvers is handled by perl

 expected  new behavior
federationsidfederationresolvers should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
64," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationresolvers is handled by perl

 expected  new behavior
federationresolvers should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
65," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
federationresolversid is handled by perl

 expected  new behavior
federationresolversid should be handled by go

 minimal reproduction of the problem with instructions
na
",TD,Not_TD
66," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
hwinfo is handled by perl

 expected  new behavior
hwinfo should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
a route named hwinfowip seems to exist progress to completion is unknown
",TD,Not_TD
67," im submitting a 
  bug report
  new feature  enhancement request
  improvement request usability performance tech debt etc
  other

 traffic control components affected 
  cdn in a box
  documentation possibly
  grove
  traffic control client
  traffic monitor
  traffic ops
  traffic ops ort
  traffic portal
  traffic router
  traffic stats
  traffic vault
  unknown

 current behavior
hwinfodtdata is handled by perl

 expected  new behavior
hwinfodtdata should be handled by go

 minimal reproduction of the problem with instructions
na

 anything else
a route named hwinfowip seems to exist progress to completion is unknown
",TD,Not_TD
